Title,product_id,ISSN print,ISSN electronic,Imprint,"PrimaryLanguage",Open Access,Comment,License,standard workflow July 18,"ProductionEditor"
Acta Physiologiae Plantarum,11738,,1861-1664,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Singh, Albert"
Activitas Nervosa Superior,41470,2510-2788,1802-9698,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
"Adaptive Human Behavior andPhysiology",40750,,2198-7335,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
"Administration and Policy inMental Health and Mental HealthServices Research",10488,0894-587X,1573-3289,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shenbagam, S."
Adolescent Research Review,40894,2363-8346,2363-8354,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nagaraj, Govind"
Adsorption,10450,0929-5607,1572-8757,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramachandran,Bharathi"
"Advanced Composites and HybridMaterials",42114,2522-0128,2522-0136,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Weaver, Janice"
"Advances in Applied CliffordAlgebras",6,0188-7009,1661-4909,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
"Advances in Astronautics Scienceand Technology",42423,2524-5252,2524-5260,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Daum, Jutta"
Advances in Atmospheric Sciences,376,0256-1530,1861-9533,"Science Press, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Advances in ComputationalMathematics",10444,1019-7168,1572-9044,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
"Advances in Data Analysis andClassification",11634,1862-5347,1862-5355,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
"Advances in Health SciencesEducation",10459,1382-4996,1573-1677,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lichtveld,Pauline"
Advances in Manufacturing,40436,2095-3127,2195-3597,"Shanghai University, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,standard,"Dayanand,Antony"
"Advances in NeurodevelopmentalDisorders",41252,2366-7532,2366-7540,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
Advances in Therapy,12325,,1865-8652,Adis,English,Hybrid (Open Choice),,CC BY-NC,non-standard,"Verma, Priya"
Aequationes mathematicae,10,0001-9054,1420-8903,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
Aerobiologia,10453,0393-5965,1573-3025,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
Aerosol Science and Engineering,41810,2510-375X,2510-3768,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
Aerospace Systems,42401,2523-3947,2523-3955,"Shanghai Jiaotong UniversityPress, co-published with Springer",English,Hybrid (Open Choice),New Start in 2018.,CC BY,non-standard,"Winter-Todorov,Christiane"
Aesthetic Plastic Surgery,266,0364-216X,1432-5241,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Triner, Annette"
African Archaeological Review,10437,0263-0338,1572-9842,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Torres, Jurgen"
Afrika Matematika,13370,1012-9405,2190-7668,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Namperumal,Citra"
Ageing International,12126,0163-5158,1936-606X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
"Aging Clinical and ExperimentalResearch",40520,,1720-8319,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaswamy,Muralidaran"
Agricultural Research,40003,2249-720X,2249-7218,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maharajan,Suganya"
Agriculture and Human Values,10460,0889-048X,1572-8366,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
Agroforestry Systems,10457,0167-4366,1572-9680,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Thilagam,Kasturi"
"Agronomy for SustainableDevelopment",13593,1774-0746,1773-0155,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Klijn, Marielle"
AI & SOCIETY,146,0951-5666,1435-5655,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Govindaswamy,Muralidaran"
AIDS and Behavior,10461,1090-7165,1573-3254,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jayaraj,Poongulazhali"
"Air Quality, Atmosphere & Health",11869,,1873-9326,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
Algebra universalis,12,0002-5240,1420-8911,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Vijayaraghunathan, Preetha"
"Algebras and RepresentationTheory",10468,1386-923X,1572-9079,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mortillero, Jill"
Algorithmica,453,0178-4617,1432-0541,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
Allergo Journal International,40629,,2197-0378,SpringerMedizin,English,Hybrid (Open Choice),,CC BY,standard,"Scheuermann,Ria"
Alpine Botany,35,1664-2201,1664-221X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajendran,Thangeswari"
Ambio,13280,0044-7447,1654-7209,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
"American Journal ofCardiovascular Drugs",40256,1175-3277,1179-187X,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Thiagaraj,Pressila"
"American Journal of ClinicalDermatology",40257,1175-0561,1179-1888,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Shanmugam,Revathi"
"American Journal of DanceTherapy",10465,0146-3721,1573-3262,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
"American Journal of PotatoResearch",12230,1099-209X,1874-9380,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maged, Robert"
The American Sociologist,12108,0003-1232,1936-4784,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Gerona, Razel"
Amino Acids,726,0939-4451,1438-2199,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sekar, Anu"
AMS Review,13162,1869-814X,1869-8182,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Torres, Jurgen"
Der Anaesthesist,101,0003-2417,1432-055X,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Meyer-VomHagen, Petra"
"Analog Integrated Circuits andSignal Processing",10470,0925-1030,1573-1979,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Inbasigamoni,Velmuguran"
"Analysis and MathematicalPhysics",13324,1664-2368,1664-235X,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
"Analytical and BioanalyticalChemistry",216,1618-2642,1618-2650,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dagoy, Igan"
Anatomical Science International,12565,1447-6959,1447-073X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Babu,Saravanan"
Angiogenesis,10456,0969-6970,1573-7209,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
Animal Cognition,10071,1435-9448,1435-9456,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajendran,Thangeswari"
Annales Henri Poincaré,23,1424-0637,1424-0661,Birkhäuser,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Bala, Senthil"
"Annales mathématiques duQuébec",40316,2195-4755,2195-4763,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
"ANNALI DELL'UNIVERSITA' DIFERRARA",11565,0430-3202,1827-1510,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shanmugam,Revathi"
"Annali di Matematica Pura edApplicata (1923 -)",10231,0373-3114,1618-1891,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
Annals of Biomedical Engineering,10439,,1573-9686,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Triner, Annette"
Annals of Combinatorics,26,0218-0006,0219-3094,Birkhäuser,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vijayaraghunathan, Preetha"
Annals of Data Science,40745,2198-5804,2198-5812,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ganesan,Remya"
Annals of Dyslexia,11881,0736-9387,1934-7243,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
Annals of Finance,10436,1614-2446,1614-2454,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajagopal, Balaji"
Annals of Forest Science,13595,1286-4560,1297-966X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
"Annals of Global Analysis andGeometry",10455,0232-704X,1572-9060,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
Annals of Hematology,277,0939-5555,1432-0584,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
"Annals of Mathematics andArtificial Intelligence",10472,1012-2443,1573-7470,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Aimee"
Annals of Microbiology,13213,,1869-2044,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marabillo,Annalyn"
Annals of Nuclear Medicine,12149,0914-7187,1864-6433,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Babu,Saravanan"
Annals of Operations Research,10479,0254-5330,1572-9338,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
Annals of PDE,40818,,2199-2576,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
The Annals of Regional Science,168,0570-1864,1432-0592,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
"Annals of Solid and StructuralMechanics",12356,,1867-6944,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Namperumal,Citra"
Annals of Surgical Oncology,10434,1068-9265,1534-4681,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Borgenicht, Jodi"
Annals of Telecommunications,12243,0003-4347,1958-9395,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marabillo,Annalyn"
Antonie van Leeuwenhoek,10482,0003-6072,1572-9699,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
Apidologie,13592,0044-8435,1297-9678,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
Apoptosis,10495,1360-8185,1573-675X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramachandran,Bharathi"
"Applicable Algebra in Engineering,Communication and Computing",200,0938-1279,1432-0622,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Ramanathan,Elangovan"
"Applied Biochemistry andBiotechnology",12010,0273-2289,1559-0291,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Duning,Renante"
Applied Biological Chemistry,13765,2468-0834,2468-0842,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sekar, Anu"
Applied Categorical Structures,10485,0927-2852,1572-9095,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Polin, Joy"
Applied Entomology and Zoology,13355,0003-6862,1347-605X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
Applied Geomatics,12518,1866-9298,1866-928X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fabe, Junlen"
"Applied Health Economics andHealth Policy",40258,1175-5652,1179-1896,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Thiagaraj,Pressila"
Applied Intelligence,10489,0924-669X,1573-7497,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Alejo, Mildred"
Applied Magnetic Resonance,723,0937-9347,1613-7507,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Namperumal,Citra"
"Applied Mathematics andMechanics",10483,0253-4827,1573-2754,"Shanghai University, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Applied Mathematics &Optimization",245,0095-4616,1432-0606,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Panneerselvam,Prathap"
"Applied Microbiology andBiotechnology",253,0175-7598,1432-0614,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ariaga-Cabahug, LeahMae"
Applied Nanoscience,13204,2190-5509,2190-5517,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Namperumal,Citra"
Applied Physics A,339,0947-8396,1432-0630,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
Applied Physics B,340,0946-2171,1432-0649,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
"Applied Psychophysiology andBiofeedback",10484,1090-0586,1573-3270,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pesala,Nandhini"
Applied Research in Quality of Life,11482,1871-2584,1871-2576,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Boy Cutamora,Barney"
"Applied Spatial Analysis andPolicy",12061,,1874-4621,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
Aquaculture International,10499,0967-6120,1573-143X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devero, Jinky,Macajelos, Juvy"
Aquatic Ecology,10452,1386-2588,1573-5125,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj,Ambiga"
Aquatic Geochemistry,10498,1380-6165,1573-1421,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Aquatic Sciences,27,1015-1621,1420-9055,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajendran,Thangeswari"
Arabian Journal of Geosciences,12517,1866-7511,1866-7538,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villarosa,Joseph"
"Arabian Journal for Science andEngineering",13369,2193-567X,2191-4281,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Kuebler, Andrea"
"Archaeological andAnthropological Sciences",12520,1866-9557,1866-9565,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villarosa,Joseph"
Archaeologies,11759,1555-8622,1935-3987,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ponnusamy,Ganesh"
Archiv der Mathematik,13,0003-889X,1420-8938,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Namperumal,Citra"
Archival Science,10502,1389-0166,1573-7519,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
Archive of Applied Mechanics,419,0939-1533,1432-0681,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parasuraman,Baskaran"
"Archive for History of ExactSciences",407,0003-9519,1432-0657,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
Archive for Mathematical Logic,153,0933-5846,1432-0665,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
"Archive for Rational Mechanicsand Analysis",205,0003-9527,1432-0673,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dimler, Gertrud"
"Archives of ComputationalMethods in Engineering",11831,1134-3060,1886-1784,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
"Archives of DermatologicalResearch",403,,1432-069X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ratnabai,Sumathi"
"Archives of EnvironmentalContamination and Toxicology",244,0090-4341,1432-0703,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Raj, Vatsala"
"Archives of Gynecology andObstetrics",404,,1432-0711,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pappichetty,Jayaprakash"
Archives of Microbiology,203,0302-8933,1432-072X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Verma, Priya"
"Archives of Orthopaedic andTrauma Surgery",402,,1434-3916,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sundaram,Anburaj"
Archives of Osteoporosis,11657,,1862-3514,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Roseveare,David"
Archives of Pharmacal Research,12272,0253-6269,1976-3786,"Pharmaceutical Society of Korea,co-published with Springer",English,Hybrid (Open Choice),,CC BY,standard,"Sekar, Anu"
Archives of Sexual Behavior,10508,0004-0002,1573-2800,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
Archives of Toxicology,204,0340-5761,1432-0738,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ahmed, Sadat"
"Archives of Women's MentalHealth",737,1434-1816,1435-1102,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marabillo,Annalyn P."
"Archivum Immunologiae etTherapiae Experimentalis",5,0004-069X,1661-4917,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sureshkumar,Deepika"
Argumentation,10503,0920-427X,1572-8374,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
arktos,41063,2364-9453,2364-9461,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dimler, Gertrud"
Arnold Mathematical Journal,40598,2199-6792,2199-6806,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
Arthropod-Plant Interactions,11829,,1872-8847,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Anitha, G. V."
Arthroskopie,142,0933-7946,1434-3924,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Kehl, Claudia"
Artificial Intelligence and Law,10506,0924-8463,1572-8382,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Artificial Intelligence Review,10462,0269-2821,1573-7462,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaraju,Karthick"
Artificial Life and Robotics,10015,1433-5298,1614-7456,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Stella, Angeline"
Asia Europe Journal,10308,1610-2932,1612-1031,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marabillo,Annalyn P."
Asia Pacific Education Review,12564,1598-1037,1876-407X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaraju,Karthick"
"Asia Pacific Journal ofManagement",10490,0217-4561,1572-9958,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Torres, Jurgen"
Asian Archaeology,41826,2520-8098,2520-8101,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vogel, Andreas"
Asian Bioethics Review,41649,1793-8759,1793-9453,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
Asian Journal of Business Ethics,13520,2210-6723,2210-6731,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
Asian Journal of Civil Engineering,42107,1563-0854,2522-011X,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Treiber, Petra"
Asian Journal of Criminology,11417,1871-0131,1871-014X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
"The Asia-Pacific EducationResearcher",40299,0119-5646,2243-7908,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
Asia-Pacific Financial Markets,10690,1387-2834,1573-6946,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
"Asia-Pacific Journal ofAtmospheric Sciences",13143,1976-7633,1976-7951,"Korean Meteorological Society, copublished with Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Asia-Pacific Journal of RegionalScience",41685,2509-7946,2509-7954,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
"AStA Advances in StatisticalAnalysis",10182,1863-8171,1863-818X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Schüller,Bernhard"
"AStA Wirtschafts- undSozialstatistisches Archiv",11943,1863-8155,1863-8163,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Schüller,Bernhard"
Astrodynamics,42064,2522-008X,2522-0098,"Tsinghua University Press, co-published with Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"The Astronomy and AstrophysicsReview",159,0935-4956,1432-0754,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Treiber, Petra"
Astrophysics and Space Science,10509,,1572-946X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faber,Meertinus"
Atlantic Economic Journal,11293,0197-4254,1573-9678,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
"Attention, Perception, &Psychophysics",13414,1943-3921,1943-393X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Darnowsky,Robert"
Augmented Human Research,41133,2365-4317,2365-4325,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
"Australasian Physical &Engineering Sciences in Medicine",13246,,1879-5447,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
Australasian Plant Pathology,13313,0815-3191,1448-6032,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
"The Australian EducationalResearcher",13384,0311-6999,2210-5328,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
Automated Software Engineering,10515,0928-8910,1573-7535,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jayaraj,Poongulazhali"
"Automotive and EngineTechnology",41104,,2365-5135,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
Automotive Innovation,42154,2096-4250,2522-8765,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Daum, Jutta"
"Autonomous Agents and Multi-Agent Systems",10458,1387-2532,1573-7454,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chandrasekar,Priya"
Autonomous Robots,10514,0929-5593,1573-7527,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panneerselvam,Prathap"
Axiomathes,10516,1122-1151,1572-8390,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
Basic Research in Cardiology,395,0300-8428,1435-1803,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Häseler,Angelika"
Behavior Research Methods,13428,,1554-3528,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Davis, Jeff"
"Behavioral Ecology andSociobiology",265,0340-5443,1432-0762,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
Behaviormetrika,41237,0385-7417,1349-6964,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
"Beiträge zur Algebra undGeometrie / Contributions toAlgebra and Geometry",13366,0138-4821,2191-0383,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
Berliner Journal für Soziologie,11609,0863-1808,1862-2593,Springer VS,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vogel, Andreas"
"BHM Berg- und HüttenmännischeMonatshefte",501,0005-8912,1613-7531,Springer,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Leader, Marion"
Biochemical Genetics,10528,0006-2928,1573-4927,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nagaraj, Govind"
BioControl,10526,1386-6141,1573-8248,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faber,Meertinus"
Biodegradation,10532,0923-9820,1572-9729,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
Bio-Design and Manufacturing,42242,2096-5524,2522-8552,"Zhejiang University Press, co-published with Springer",English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Winter-Todorov,Christiane"
Biodiversity and Conservation,10531,0960-3115,1572-9710,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
