Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
Acta Mathematica Scientia,PE,10473,0252-9602,1572-9087,Springer,English,1,39,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Elsevier. 
Acta Mathematica Vietnamica,PE,40306,0251-4184,2315-4144,Springer,English,1,44,4,Hybrid (Open Choice),
Acta Mechanica,PE OF,707,0001-5970,1619-6937,Springer,English,1,230,12,Hybrid (Open Choice),
Acta Mechanica Sinica,PE OF,10409,0567-7718,1614-3116,"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences, co-published with Springer",English,1,35,6,Hybrid (Open Choice),Chinese Library of Science. 
Acta Mechanica Solida Sinica,PE OF,10338,0894-9166,1860-2134,Springer,English,1,32,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: Elsevier. Chinese Library of Science. . 
Acta Neurochirurgica,PE OF S,701,0001-6268,0942-0940,Springer,English,1,161,12,Hybrid (Open Choice),
Acta Neurologica Belgica,E OF S,13760,,2240-2993,Springer,English,1,119,4,Hybrid (Open Choice),
Acta Neuropathologica,PE OF S,401,0001-6322,1432-0533,Springer,English,2,137-138,6,Hybrid (Open Choice),
Acta Parasitologica,PE OF,11686,1230-2821,1896-1851,Springer,English,1,64,4,Hybrid (Open Choice),Take-over in 2019. Former publisher: de Gruyter. 
Acta Pharmacologica Sinica,PE,41401,1671-4083,1745-7254,Springer Nature,English,1,40,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Acta Physiologiae Plantarum,E S C,11738,,1861-1664,Springer,English,1,41,12,Hybrid (Open Choice),
Acta Politica,PE OF,41269,0001-6810,1741-1416,Palgrave Macmillan,English,1,54,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Activitas Nervosa Superior,PE,41470,2510-2788,1802-9698,Springer,English,1,61,4,Hybrid (Open Choice),
Adaptive Human Behavior and Physiology,E OF S,40750,,2198-7335,Springer,English,1,5,4,Hybrid (Open Choice),Available in electronic format only. 
ADHD Attention Deficit and Hyperactivity Disorders,PE OF S,12402,1866-6116,1866-6647,Springer,English,1,11,4,Hybrid (Open Choice),
Administration and Policy in Mental Health and Mental Health Services Research,PE OF,10488,0894-587X,1573-3289,Springer,English,1,46,6,Hybrid (Open Choice),
Adolescent Research Review,PE OF,40894,2363-8346,2363-8354,Springer,English,1,4,4,Hybrid (Open Choice),
Adsorption,PE OF,10450,0929-5607,1572-8757,Springer,English,1,25,8,Hybrid (Open Choice),
Advanced Composites and Hybrid Materials,PE OF S,42114,2522-0128,2522-0136,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
Advanced Fiber Materials,PE OF S,42765,2524-7921,2524-793X,Springer,English,1,1,4,Hybrid (Open Choice),Addendum Journals List: New start in 2019. Chinese Library of Science. 
Advances in Applied Clifford Algebras,PE C,6,0188-7009,1661-4909,Birkhäuser,English,1,29,5,Hybrid (Open Choice),
Advances in Astronautics Science and Technology,PE OF,42423,2524-5252,2524-5260,Springer,English,1,2,2,Hybrid (Open Choice),New Start in 2018. Chinese Library of Science. 
Advances in Atmospheric Sciences,PE,376,0256-1530,1861-9533,"Science Press, co-published with Springer",English,1,36,12,Hybrid (Open Choice),Chinese Library of Science. 
Advances in Computational Mathematics,PE OF,10444,1019-7168,1572-9044,Springer,English,1,45,6,Hybrid (Open Choice),
Advances in Data Analysis and Classification,PE OF,11634,1862-5347,1862-5355,Springer,English,1,13,4,Hybrid (Open Choice),
Advances in Health Sciences Education,PE OF,10459,1382-4996,1573-1677,Springer,English,1,24,5,Hybrid (Open Choice),
Advances in Manufacturing,PE OF,40436,2095-3127,2195-3597,"Shanghai University, co-published with Springer",English,1,7,4,Hybrid (Open Choice),Chinese Library of Science. 
Advances in Neurodevelopmental Disorders,PE OF,41252,2366-7532,2366-7540,Springer,English,1,3,4,Hybrid (Open Choice),
Advances in Therapy,E OF S,12325,,1865-8652,Adis,English,1,36,12,Hybrid (Open Choice),
Aequationes mathematicae,PE OF,10,0001-9054,1420-8903,Birkhäuser,English,1,93,6,Hybrid (Open Choice),
Aerobiologia,PE OF S,10453,0393-5965,1573-3025,Springer,English,1,35,4,Hybrid (Open Choice),
Aerosol Science and Engineering,PE OF,41810,2510-375X,2510-3768,Springer,English,1,3,4,Hybrid (Open Choice),Chinese Library of Science. 
Aerospace Systems,PE OF,42401,2523-3947,2523-3955,"Shanghai Jiaotong University Press, co-published with Springer",English,1,2,2,Hybrid (Open Choice),Addendum Journals List: New Start in 2018. Chinese Library of Science. 
Aerotecnica Missili & Spazio,PE,42496,0365-7442,2524-6968,Springer,English,1,98,4,Hybrid (Open Choice),Take-over in 2019. Former publisher: AIDAA Associazione Italiana di Aeronautica e Astronautica. 
Aesthetic Plastic Surgery,PE OF,266,0364-216X,1432-5241,Springer,English,1,43,6,Hybrid (Open Choice),
African Archaeological Review,PE OF,10437,0263-0338,1572-9842,Springer,English,1,36,4,Hybrid (Open Choice),
Afrika Matematika,PE OF S,13370,1012-9405,2190-7668,Springer,English,1,30,8,Hybrid (Open Choice),
Ageing International,PE OF,12126,0163-5158,1936-606X,Springer,English,1,44,4,Hybrid (Open Choice),
Aging Clinical and Experimental Research,E OF S,40520,,1720-8319,Springer,English,1,31,12,Hybrid (Open Choice),Available in electronic format only. 
Agricultural Research,PE OF,40003,2249-720X,2249-7218,Springer,English,1,8,4,Hybrid (Open Choice),
Agriculture and Human Values,PE OF,10460,0889-048X,1572-8366,Springer,English,1,36,4,Hybrid (Open Choice),
Agroforestry Systems,PE OF,10457,0167-4366,1572-9680,Springer,English,1,93,6,Hybrid (Open Choice),
Agronomy for Sustainable Development,PE C,13593,1774-0746,1773-0155,Springer,English,1,39,6,Hybrid (Open Choice),
AI & SOCIETY,PE OF,146,0951-5666,1435-5655,Springer,English,1,34,4,Hybrid (Open Choice),
AIDS and Behavior,PE OF,10461,1090-7165,1573-3254,Springer,English,1,23,12,Hybrid (Open Choice),
"Air Quality, Atmosphere & Health",E OF,11869,,1873-9326,Springer,English,1,12,12,Hybrid (Open Choice),
Algebra universalis,PE C,12,0002-5240,1420-8911,Birkhäuser,English,1,80,4,Hybrid (Open Choice),
Algebras and Representation Theory,PE OF,10468,1386-923X,1572-9079,Springer,English,1,22,6,Hybrid (Open Choice),
Algorithmica,PE OF,453,0178-4617,1432-0541,Springer,English,1,81,12,Hybrid (Open Choice),
Allergo Journal International,E OF S,40629,,2197-0378,SpringerMedizin,English,1,28,8,Hybrid (Open Choice),Available in electronic format only. 
Alpine Botany,PE OF S,35,1664-2201,1664-221X,Springer,English,1,129,2,Hybrid (Open Choice),
Ambio,PE OF,13280,0044-7447,1654-7209,Springer,English,1,48,12,Hybrid (Open Choice),
American Journal of Cardiovascular Drugs,PE OF,40256,1175-3277,1179-187X,Adis,English,1,19,6,Hybrid (Open Choice),
American Journal of Clinical Dermatology,PE OF,40257,1175-0561,1179-1888,Adis,English,1,20,6,Hybrid (Open Choice),
American Journal of Criminal Justice,PE OF,12103,1066-2316,1936-1351,Springer,English,1,44,6,Hybrid (Open Choice),
American Journal of Cultural Sociology,PE OF,41290,2049-7113,2049-7121,Palgrave Macmillan,English,1,7,3,Hybrid (Open Choice),Online version only available through an institutional license. 
American Journal of Dance Therapy,PE OF,10465,0146-3721,1573-3262,Springer,English,1,41,2,Hybrid (Open Choice),
American Journal of Potato Research,PE OF S,12230,1099-209X,1874-9380,Springer,English,1,96,6,Hybrid (Open Choice),
The American Sociologist,PE OF,12108,0003-1232,1936-4784,Springer,English,1,50,4,Hybrid (Open Choice),
Amino Acids,PE OF,726,0939-4451,1438-2199,Springer,English,1,51,12,Hybrid (Open Choice),
AMS Review,PE OF S,13162,1869-814X,1869-8182,Springer,English,1,9,4,Hybrid (Open Choice),
Der Anaesthesist,PE,101,0003-2417,1432-055X,SpringerMedizin,German,1,68,12,Hybrid (Open Choice),
Analog Integrated Circuits and Signal Processing,PE OF,10470,0925-1030,1573-1979,Springer,English,4,98-101,3,Hybrid (Open Choice),
Analysis and Mathematical Physics,PE OF,13324,1664-2368,1664-235X,Birkhäuser,English,1,9,4,Hybrid (Open Choice),
Analytical and Bioanalytical Chemistry,PE OF S,216,1618-2642,1618-2650,Springer,English,1,411,30,Hybrid (Open Choice),
Anatomical Science International,PE OF S,12565,1447-6959,1447-073X,Springer,English,1,94,4,Hybrid (Open Choice),
Angiogenesis,PE OF,10456,0969-6970,1573-7209,Springer,English,1,22,4,Hybrid (Open Choice),
Animal Cognition,PE OF S,10071,1435-9448,1435-9456,Springer,English,1,22,6,Hybrid (Open Choice),
Annales Henri Poincaré,PE OF,23,1424-0637,1424-0661,Birkhäuser,English,1,20,12,Hybrid (Open Choice),
Annales mathématiques du Québec,PE OF S,40316,2195-4755,2195-4763,Springer,English,1,43,2,Hybrid (Open Choice),
ANNALI DELL'UNIVERSITA' DI FERRARA,PE OF,11565,0430-3202,1827-1510,Springer,English,1,65,2,Hybrid (Open Choice),
Annali di Matematica Pura ed Applicata (1923 -),PE OF S,10231,0373-3114,1618-1891,Springer,English,1,198,6,Hybrid (Open Choice),
Annals of Biomedical Engineering,E OF,10439,,1573-9686,Springer,English,1,47,12,Hybrid (Open Choice),
Annals of Combinatorics,PE OF,26,0218-0006,0219-3094,Birkhäuser,English,1,23,4,Hybrid (Open Choice),
Annals of Data Science,PE,40745,2198-5804,2198-5812,Springer,English,1,6,4,Hybrid (Open Choice),
Annals of Dyslexia,PE OF,11881,0736-9387,1934-7243,Springer,English,1,69,3,Hybrid (Open Choice),
Annals of Finance,PE OF,10436,1614-2446,1614-2454,Springer,English,1,15,4,Hybrid (Open Choice),
Annals of Forest Science,PE C,13595,1286-4560,1297-966X,Springer,English,1,76,4,Hybrid (Open Choice),
Annals of Global Analysis and Geometry,PE OF,10455,0232-704X,1572-9060,Springer,English,2,55-56,4,Hybrid (Open Choice),
Annals of Hematology,PE OF S,277,0939-5555,1432-0584,Springer,English,1,98,12,Hybrid (Open Choice),
Annals of Mathematics and Artificial Intelligence,PE OF,10472,1012-2443,1573-7470,Springer,English,3,85-87,4,Hybrid (Open Choice),
Annals of Microbiology,E OF S,13213,,1869-2044,Springer,English,1,69,12,Hybrid (Open Choice),
Annals of Nuclear Medicine,PE OF S,12149,0914-7187,1864-6433,Springer,English,1,33,12,Hybrid (Open Choice),
Annals of Operations Research,PE OF,10479,0254-5330,1572-9338,Springer,English,12,272-283,2,Hybrid (Open Choice),
Annals of PDE,PE C S,40818,,2199-2576,Springer,English,1,5,2,Hybrid (Open Choice),Print subscription available as of 2019. 
The Annals of Regional Science,PE OF,168,0570-1864,1432-0592,Springer,English,2,62-63,3,Hybrid (Open Choice),
Annals of Solid and Structural Mechanics,E OF,12356,,1867-6944,Springer,English,1,11,2,Hybrid (Open Choice),
Annals of Surgical Oncology,PE OF S,10434,1068-9265,1534-4681,Springer,English,1,26,13,Hybrid (Open Choice),
Annals of Telecommunications,PE OF,12243,0003-4347,1958-9395,Springer,English,1,74,12,Hybrid (Open Choice),
Antonie van Leeuwenhoek,PE OF S,10482,0003-6072,1572-9699,Springer,English,1,112,12,Hybrid (Open Choice),
Apidologie,PE OF,13592,0044-8435,1297-9678,Springer,English,1,50,6,Hybrid (Open Choice),
Apoptosis,PE OF,10495,1360-8185,1573-675X,Springer,English,1,24,12,Hybrid (Open Choice),
"Applicable Algebra in Engineering, Communication and Computing",PE OF,200,0938-1279,1432-0622,Springer,English,1,30,6,Hybrid (Open Choice),
Applied Biochemistry and Biotechnology,PE OF S,12010,0273-2289,1559-0291,Springer,English,3,187-189,4,Hybrid (Open Choice),
Applied Categorical Structures,PE OF,10485,0927-2852,1572-9095,Springer,English,1,27,6,Hybrid (Open Choice),
Applied Composite Materials,PE OF,10443,0929-189X,1573-4897,Springer,English,1,26,6,Hybrid (Open Choice),
Applied Entomology and Zoology,PE OF S,13355,0003-6862,1347-605X,Springer,English,1,54,4,Hybrid (Open Choice),
Applied Geomatics,PE OF,12518,1866-9298,1866-928X,Springer,English,1,11,4,Hybrid (Open Choice),
Applied Health Economics and Health Policy,PE OF,40258,1175-5652,1179-1896,Adis,English,1,17,6,Hybrid (Open Choice),
Applied Intelligence,PE OF,10489,0924-669X,1573-7497,Springer,English,1,49,12,Hybrid (Open Choice),
Applied Magnetic Resonance,PE OF,723,0937-9347,1613-7507,Springer,English,1,50,12,Hybrid (Open Choice),
Applied Mathematics and Mechanics,PE OF,10483,0253-4827,1573-2754,"Shanghai University, co-published with Springer",English,1,40,12,Hybrid (Open Choice),Chinese Library of Science. 
Applied Mathematics & Optimization,PE OF,245,0095-4616,1432-0606,Springer,English,2,79-80,3,Hybrid (Open Choice),
Applied Microbiology and Biotechnology,PE OF S,253,0175-7598,1432-0614,Springer,English,1,103,24,Hybrid (Open Choice),
Applied Nanoscience,PE OF,13204,2190-5509,2190-5517,Springer,English,1,9,8,Hybrid (Open Choice),
Applied Physics A,PE S C,339,0947-8396,1432-0630,Springer,English,1,125,12,Hybrid (Open Choice),
Applied Physics B,PE S C,340,0946-2171,1432-0649,Springer,English,1,125,12,Hybrid (Open Choice),
Applied Psychophysiology and Biofeedback,PE OF,10484,1090-0586,1573-3270,Springer,English,1,44,4,Hybrid (Open Choice),
Applied Research in Quality of Life,PE OF,11482,1871-2584,1871-2576,Springer,English,1,14,5,Hybrid (Open Choice),
Applied Spatial Analysis and Policy,E OF,12061,,1874-4621,Springer,English,1,12,4,Hybrid (Open Choice),
Aquaculture International,PE OF,10499,0967-6120,1573-143X,Springer,English,1,27,6,Hybrid (Open Choice),
Aquatic Ecology,PE OF,10452,1386-2588,1573-5125,Springer,English,1,53,4,Hybrid (Open Choice),
Aquatic Geochemistry,PE,10498,1380-6165,1573-1421,Springer,English,1,25,6,Hybrid (Open Choice),
Aquatic Sciences,PE S C,27,1015-1621,1420-9055,Springer,English,1,81,4,Hybrid (Open Choice),
Arabian Journal of Geosciences,PE C,12517,1866-7511,1866-7538,Springer,English,1,12,24,Hybrid (Open Choice),
Arabian Journal for Science and Engineering,PE OF S,13369,2193-567X,2191-4281,Springer,English,1,44,12,Hybrid (Open Choice),
Archaeological and Anthropological Sciences,PE OF,12520,1866-9557,1866-9565,Springer,English,1,11,12,Hybrid (Open Choice),
Archaeologies,PE OF S,11759,1555-8622,1935-3987,Springer,English,1,15,3,Hybrid (Open Choice),
Archiv der Mathematik,PE OF,13,0003-889X,1420-8938,Birkhäuser,English,2,112-113,6,Hybrid (Open Choice),
Archival Science,PE OF,10502,1389-0166,1573-7519,Springer,English,1,19,4,Hybrid (Open Choice),
Archive of Applied Mechanics,PE OF,419,0939-1533,1432-0681,Springer,English,1,89,12,Hybrid (Open Choice),
Archive for History of Exact Sciences,PE OF,407,0003-9519,1432-0657,Springer,English,1,73,6,Hybrid (Open Choice),
Archive for Mathematical Logic,PE OF S,153,0933-5846,1432-0665,Springer,English,1,58,8,Hybrid (Open Choice),
Archive for Rational Mechanics and Analysis,PE OF S,205,0003-9527,1432-0673,Springer,English,4,231-234,3,Hybrid (Open Choice),
Archives of Computational Methods in Engineering,PE OF,11831,1134-3060,1886-1784,Springer,English,1,26,5,Hybrid (Open Choice),
Archives of Dermatological Research,E OF S,403,,1432-069X,Springer,English,1,311,10,Hybrid (Open Choice),
Archives of Environmental Contamination and Toxicology,PE,244,0090-4341,1432-0703,Springer,English,2,76-77,4,Hybrid (Open Choice),
Archives of Gynecology and Obstetrics,E OF S,404,,1432-0711,Springer,English,2,299-300,6,Hybrid (Open Choice),
Archives of Microbiology,PE OF S,203,0302-8933,1432-072X,Springer,English,1,201,10,Hybrid (Open Choice),
Archives of Orthopaedic and Trauma Surgery,E OF S,402,,1434-3916,Springer,English,1,139,12,Hybrid (Open Choice),
Archives of Osteoporosis,E OF C,11657,,1862-3514,Springer,English,1,14,1,Hybrid (Open Choice),
Archives of Pharmacal Research,PE OF,12272,0253-6269,1976-3786,"Pharmaceutical Society of Korea, co-published with Springer",English,1,42,12,Hybrid (Open Choice),
Archives of Sexual Behavior,PE OF,10508,0004-0002,1573-2800,Springer,English,1,48,8,Hybrid (Open Choice),
Archives of Toxicology,PE OF S,204,0340-5761,1432-0738,Springer,English,1,93,12,Hybrid (Open Choice),
Archives of Virology,PE OF S,705,0304-8608,1432-8798,Springer,English,1,164,12,Hybrid (Open Choice),
Archives of Women's Mental Health,PE OF S,737,1434-1816,1435-1102,Springer,English,1,22,6,Hybrid (Open Choice),
Archivum Immunologiae et Therapiae Experimentalis,PE OF S,5,0004-069X,1661-4917,Springer,English,1,67,6,Hybrid (Open Choice),
Argumentation,PE OF,10503,0920-427X,1572-8374,Springer,English,1,33,4,Hybrid (Open Choice),
arktos,PE OF,41063,2364-9453,2364-9461,Springer,English,1,5,2,Hybrid (Open Choice),Erratum Journals List: Publishes 2 issues in 2019. 
Arnold Mathematical Journal,PE OF S,40598,2199-6792,2199-6806,Springer,English,1,5,4,Hybrid (Open Choice),
Arthropod-Plant Interactions,E OF S,11829,,1872-8847,Springer,English,1,13,6,Hybrid (Open Choice),
Arthroskopie,PE OF,142,0933-7946,1434-3924,SpringerMedizin,German,1,32,6,Hybrid (Open Choice),Erratum Journals List: Publishes 6 issues in 2019. 
Artificial Intelligence and Law,PE OF,10506,0924-8463,1572-8382,Springer,English,1,27,4,Hybrid (Open Choice),
Artificial Intelligence Review,PE OF,10462,0269-2821,1573-7462,Springer,English,2,51-52,4,Hybrid (Open Choice),
Artificial Life and Robotics,PE OF S,10015,1433-5298,1614-7456,Springer,English,1,24,4,Hybrid (Open Choice),
Asia Europe Journal,PE OF,10308,1610-2932,1612-1031,Springer,English,1,17,4,Hybrid (Open Choice),
Asia Pacific Education Review,PE OF,12564,1598-1037,1876-407X,Springer,English,1,20,4,Hybrid (Open Choice),
Asia Pacific Journal of Management,PE OF,10490,0217-4561,1572-9958,Springer,English,1,36,4,Hybrid (Open Choice),
Asian Archaeology,PE,41826,2520-8098,2520-8101,Springer,English,1,3,2,Hybrid (Open Choice),
Asian Bioethics Review,PE OF,41649,1793-8759,1793-9453,Springer,English,1,11,4,Hybrid (Open Choice),
Asian Business & Management,PE OF S,41291,1472-4782,1476-9328,Palgrave Macmillan,English,1,18,5,Hybrid (Open Choice),Online version only available through an institutional license. 
Asian Journal of Business Ethics,PE OF,13520,2210-6723,2210-6731,Springer,English,1,8,2,Hybrid (Open Choice),
Asian Journal of Civil Engineering,PE OF S,42107,1563-0854,2522-011X,Springer,English,1,20,8,Hybrid (Open Choice),Take-over in 2018. Former publisher: BHRC. 
Asian Journal of Criminology,PE OF,11417,1871-0131,1871-014X,Springer,English,1,14,4,Hybrid (Open Choice),
The Asia-Pacific Education Researcher,PE OF,40299,0119-5646,2243-7908,Springer,English,1,28,6,Hybrid (Open Choice),
Asia-Pacific Financial Markets,PE OF S,10690,1387-2834,1573-6946,Springer,English,1,26,4,Hybrid (Open Choice),
Asia-Pacific Journal of Atmospheric Sciences,PE OF S,13143,1976-7633,1976-7951,"Korean Meteorological Society, co-published with Springer",English,1,55,4,Hybrid (Open Choice),
Asia-Pacific Journal of Regional Science,PE OF S,41685,2509-7946,2509-7954,Springer,English,1,3,3,Hybrid (Open Choice),
AStA Advances in Statistical Analysis,PE OF,10182,1863-8171,1863-818X,Springer,English,1,103,4,Hybrid (Open Choice),
AStA Wirtschafts- und Sozialstatistisches Archiv,PE OF,11943,1863-8155,1863-8163,Springer,English,1,13,4,Hybrid (Open Choice),
Astrodynamics,PE OF,42064,2522-008X,2522-0098,"Tsinghua University Press, co-published with Springer",English,1,3,4,Hybrid (Open Choice),Chinese Library of Science. 
The Astronomy and Astrophysics Review,PE S C,159,0935-4956,1432-0754,Springer,English,1,27,1,Hybrid (Open Choice),
Astrophysics and Space Science,E S C,10509,,1572-946X,Springer,English,1,364,12,Hybrid (Open Choice),Print subscription no longer available. 
Atlantic Economic Journal,PE OF S,11293,0197-4254,1573-9678,Springer,English,1,47,4,Hybrid (Open Choice),
"Attention, Perception, & Psychophysics",PE OF S,13414,1943-3921,1943-393X,Springer,English,1,81,8,Hybrid (Open Choice),
Augmented Human Research,PE C,41133,2365-4317,2365-4325,Springer,English,1,4,1,Hybrid (Open Choice),
Australasian Physical & Engineering Sciences in Medicine,E OF S,13246,,1879-5447,Springer,English,1,42,4,Hybrid (Open Choice),Print subscription no longer available. 
Australasian Plant Pathology,PE OF S,13313,0815-3191,1448-6032,Springer,English,1,48,6,Hybrid (Open Choice),
The Australian Educational Researcher,PE OF S,13384,0311-6999,2210-5328,Springer,English,1,46,5,Hybrid (Open Choice),
Automated Software Engineering,PE OF,10515,0928-8910,1573-7535,Springer,English,1,26,4,Hybrid (Open Choice),
Automotive and Engine Technology,E OF,41104,,2365-5135,Springer,English,1,4,4,Hybrid (Open Choice),Available in electronic format only. 
Automotive Innovation,PE OF,42154,2096-4250,2522-8765,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. Chinese Library of Science. . 
Autonomous Agents and Multi-Agent Systems,PE OF,10458,1387-2532,1573-7454,Springer,English,1,33,6,Hybrid (Open Choice),
Autonomous Robots,PE OF,10514,0929-5593,1573-7527,Springer,English,1,43,8,Hybrid (Open Choice),
Axiomathes,PE OF,10516,1122-1151,1572-8390,Springer,English,1,29,6,Hybrid (Open Choice),
Basic Research in Cardiology,PE S C,395,0300-8428,1435-1803,Springer,English,1,114,6,Hybrid (Open Choice),
Behavior Genetics,PE OF,10519,0001-8244,1573-3297,Springer,English,1,49,6,Hybrid (Open Choice),
Behavior Research Methods,E OF S,13428,,1554-3528,Springer,English,1,51,6,Hybrid (Open Choice),
Behavior and Social Issues,PE,42822,1064-9506,2376-6786,Springer,English,1,29,1,Hybrid (Open Choice),"Addendum Journals List: Take-over in 2019. Former publisher: University of Illinois, Chicago. "
Behavioral Ecology and Sociobiology,PE S C,265,0340-5443,1432-0762,Springer,English,1,73,12,Hybrid (Open Choice),
Behaviormetrika,PE OF S,41237,0385-7417,1349-6964,Springer,English,1,46,2,Hybrid (Open Choice),
Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry,PE OF S,13366,0138-4821,2191-0383,Springer,English,1,60,4,Hybrid (Open Choice),
Berliner Journal für Soziologie,PE OF,11609,0863-1808,1862-2593,Springer VS,German,1,29,4,Hybrid (Open Choice),
BHM Berg- und Hüttenmännische Monatshefte,PE OF,501,0005-8912,1613-7531,Springer,German,1,164,12,Hybrid (Open Choice),Special price for postage & handling for customers in Austria. 
Biochar,PE OF,42773,2524-7972,2524-7867,Springer,English,1,1,4,Hybrid (Open Choice),Addendum Journals List: New start in 2019. Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China..
Biochemical Genetics,PE OF S,10528,0006-2928,1573-4927,Springer,English,1,57,6,Hybrid (Open Choice),
BioControl,PE OF S,10526,1386-6141,1573-8248,Springer,English,1,64,6,Hybrid (Open Choice),
Biodegradation,PE OF,10532,0923-9820,1572-9729,Springer,English,1,30,6,Hybrid (Open Choice),
Bio-Design and Manufacturing,PE OF S,42242,2096-5524,2522-8552,"Zhejiang University Press, co-published with Springer",English,1,2,4,Hybrid (Open Choice),"New Start in 2018. Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide."
Biodiversity and Conservation,PE OF,10531,0960-3115,1572-9710,Springer,English,1,28,14,Hybrid (Open Choice),
BioDrugs,PE OF,40259,1173-8804,1179-190X,Adis,English,1,33,6,Hybrid (Open Choice),
BioEnergy Research,E OF S,12155,,1939-1242,Springer,English,1,12,4,Hybrid (Open Choice),
Biogeochemistry,PE OF,10533,0168-2563,1573-515X,Springer,English,5,142-146,3,Hybrid (Open Choice),
Biogerontology,PE OF S,10522,1389-5729,1573-6768,Springer,English,1,20,6,Hybrid (Open Choice),
Biologia,E OF S,11756,,1336-9563,Springer,English,1,74,12,Hybrid (Open Choice),Take-over in 2018. Former publisher: de Gruyter. Available in electronic format only. 
Biological Cybernetics,PE OF S,422,0340-1200,1432-0770,Springer,English,1,113,6,Hybrid (Open Choice),
Biological Invasions,PE OF S,10530,1387-3547,1573-1464,Springer,English,1,21,12,Hybrid (Open Choice),
Biological Theory,PE OF,13752,1555-5542,1555-5550,Springer,English,1,14,4,Hybrid (Open Choice),
Biological Trace Element Research,E OF S,12011,,1559-0720,Humana Press,English,6,187-192,2,Hybrid (Open Choice),
Biology and Fertility of Soils,PE OF S,374,0178-2762,1432-0789,Springer,English,1,55,8,Hybrid (Open Choice),
Biology & Philosophy,PE OF C,10539,0169-3867,1572-8404,Springer,English,1,34,6,Hybrid (Open Choice),
Biomanufacturing Reviews,PE C,40898,2363-507X,2363-5088,Springer,English,1,4,1,Hybrid (Open Choice),
Biomass Conversion and Biorefinery,PE OF S,13399,2190-6815,2190-6823,Springer,English,1,9,4,Hybrid (Open Choice),
Biomechanics and Modeling in Mechanobiology,PE OF,10237,1617-7959,1617-7940,Springer,English,1,18,6,Hybrid (Open Choice),
Biomedical Microdevices,PE S C,10544,1387-2176,1572-8781,Springer,English,1,21,4,Hybrid (Open Choice),
BioMetals,PE OF,10534,0966-0844,1572-8773,Springer,English,1,32,6,Hybrid (Open Choice),
